name,set,condition,seller 1 price,seller 2 price,updated_price
Desperate Ritual,Champions of Kamigawa,Moderately Played,0.54,0.86,0.85
"Isamaru, Hound of Konda",Champions of Kamigawa,Moderately Played,4.01,4.02,4.01
"Keiga, the Tide Star",Champions of Kamigawa,Moderately Played,1.04,1.26,1.25
"Minamo, School at Water's Edge",Champions of Kamigawa,Moderately Played,17.97,20.04,20.029999999999998
Through the Breach,Champions of Kamigawa,Moderately Played,6.34,6.34,6.33
Enduring Ideal,Saviors of Kamigawa,Moderately Played,4.79,6.28,6.2700000000000005
"Mikokoro, Center of the Sea",Saviors of Kamigawa,Moderately Played,2.42,2.69,2.41
Privileged Position,Ravnica: City of Guilds,Moderately Played,7.16,7.91,7.9
Remand,Ravnica: City of Guilds,Moderately Played,5.32,5.33,5.32
Sacred Foundry,Ravnica: City of Guilds,Moderately Played,8.99,9.55,9.540000000000001
Debtors' Knell,Guildpact,Moderately Played,2.62,2.64,2.6300000000000003
Stitch in Time,Guildpact,Moderately Played,1.69,1.73,1.68
"Momir Vig, Simic Visionary",Dissension,Moderately Played,1.59,1.62,1.58
Voidslime,Dissension,Moderately Played,3.71,4.13,4.12
Conflagrate,Time Spiral,Moderately Played,0.35,0.45,0.82
Gemstone Caverns,Time Spiral,Moderately Played,28.96,28.98,28.95
Norin the Wary,Time Spiral,Moderately Played,3.68,4.0,3.99
Reiterate,Time Spiral,Moderately Played,9.22,8.49,9.21
Trickbind,Time Spiral,Moderately Played,3.94,4.16,4.15
Walk the Aeons,Time Spiral,Moderately Played,6.75,6.81,6.8
Wheel of Fate,Time Spiral,Moderately Played,6.53,6.6,6.59
Groundbreaker,Planar Chaos,Moderately Played,3.11,3.96,3.95
Porphyry Nodes,Planar Chaos,Moderately Played,4.13,4.39,4.38
Coalition Relic,Future Sight,Moderately Played,6.99,8.0,7.99
Gaddock Teeg,Lorwyn,Moderately Played,5.59,5.6,5.59
Fire-Lit Thicket,Shadowmoor,Moderately Played,16.26,16.95,16.939999999999998
Greater Auramancy,Shadowmoor,Moderately Played,27.97,28.8,27.959999999999997
Mystic Gate,Shadowmoor,Moderately Played,19.08,19.68,19.069999999999997
River Kelpie,Shadowmoor,Moderately Played,3.63,5.85,5.84
Woodfall Primus,Shadowmoor,Moderately Played,2.49,2.99,2.9800000000000004
Ghastlord of Fugue,Shadowmoor,Moderately Played,4.24,5.07,5.0600000000000005
Forest - Blue Pack (Rush),APAC Lands,Moderately Played,5.19,6.1,6.09
Spirit of the Hearth,Eventide,Moderately Played,0.16,0.25,0.24
Twilight Mire,Eventide,Moderately Played,6.67,6.98,6.970000000000001
Lich's Mirror,Shards of Alara,Moderately Played,2.98,3.8,3.79
Sarkhan Vol,Shards of Alara,Moderately Played,6.6,6.75,6.74
Banefire,Conflux,Moderately Played,0.75,0.75,1.98
Birds of Paradise,Magic 2010 (M10),Moderately Played,5.57,5.59,5.58
Hive Mind,Magic 2010 (M10),Moderately Played,3.76,4.54,4.53
Archive Trap,Zendikar,Moderately Played,10.73,11.86,11.85
Celestial Mantle,Zendikar,Moderately Played,2.87,2.9,2.89
Mindbreak Trap,Zendikar,Moderately Played,5.35,6.38,6.37
Pyromancer Ascension,Zendikar,Moderately Played,2.98,4.0,3.99
Sadistic Sacrament,Zendikar,Moderately Played,1.57,1.59,1.56
Goblin Lore,Starter 1999,Heavily Played,8.5,10.280000000000001,10.270000000000001
Dwarven Demolition Team,Alpha Edition,Heavily Played,27.88,28.0,27.869999999999997
Scathe Zombies,Alpha Edition,Heavily Played,11.93,12.87,12.86
Unholy Strength,Alpha Edition,Heavily Played,15.99,16.89,16.88
